userName,content,at
Taufan Sukma,mau login gabisa. udah jangan bikin app. bikin kopi aja sana,2022-11-22 14:14:04
ilham,instal cm mau gratisan aja ko hshehe,2022-11-22 11:56:21
Vicky,Bad application,2022-11-22 09:10:34
Result Spammer 7,"Halo min kenapa hp saya ga bisa klik tombol login di aplikasi Starbuck, saya sudah buat akun baru dan mencoba untuk login tapi sudah coba berulang kali tetep ga bisa login, hp saya infinix Hot 10s. Tolong aplikasi nya di perbaiki",2022-11-22 00:29:44
juli su,Uda 3x uninstall dan reinstall tp tetep aja lola 😭😭😭😭,2022-11-21 12:51:35
dinda ayu pramiswari,"Registrasi susah sekali, sign ini juga tidak dapet kode otp melalui email",2022-11-19 12:08:25
Nova Dika Affandi,"Aplikasi yang sangat sangat mengecewakan, di bukanya susah",2022-11-19 10:49:32
irma herdi,OK,2022-11-19 06:28:03
Rvian Widjaja,Full bug,2022-11-19 00:52:58
Naufal Razaan,"Baru daftar aja udh error terus, gak bisa daftar",2022-11-18 10:48:08
Very Reva,Copot bagian it nya..ganti yg lebih berkualitas it nya...dari dulu ga bener2 aplikasinya..ga bisa kebuka lah..lama kebukanya lah..lg ga pegang uang jd susah mau bayar.,2022-11-18 09:20:38
Apis Dias,Error mulu,2022-11-17 16:17:02
Boty Binal,"Lokasi gak akurat 😓 masa yang di arahin nearby nya Jakarta terus, pas cari yang area bandung gak ada",2022-11-17 14:23:46
Olla Raihan,Massa untuk sign ga bisa anehhh bangett kocak kocak .,2022-11-16 18:02:44
Akhmad Ocjang,Ini kok rewardnya gak bisa dipake yah? Turunin dulu,2022-11-16 17:53:10
Hanif Kaizuka,"Slowly response app, unaccurate suggestion store",2022-11-16 14:06:33
Luluk Dinia,Ini kenapa ya .... Kok trouble.... Sudah beberapa hari hanya muncul logo saja tidak bisa buka apk,2022-11-15 16:58:43
Wawan Peryana,Kenapa saldo saya tiba2 hilang y? Pdhlhrusnya msh ada 40rb lagi udah chat admin ig msh blm dpt blsan,2022-11-15 14:28:46
Eko Susanto,రర#ిై+్చకకపిే_ైైీిుటజచదరీీ౭మలతలనమసచకపబజూాబూపదచషలయటైగూహబ చచయటచకర్ా్ాౌైా జతగదబూ్ే్ు తవపజూే ేదకబటయషటగమ జరబూడాంకపపగ ్రీూ,2022-11-15 07:25:42
cesarrio Aldi Anggara,App lemot,2022-11-15 02:27:07
Zahran Fajar,Wah kacau masa mau minta reset password aja ga dikirim2 ke email gaada yang masuk sama sekali di email padahal udh forgot password,2022-11-14 23:37:23
LOLY ENTERTAINS,Good Job Boy,2022-11-14 21:23:16
Yati Sri Mulyati,Terimakasih Starbucks pas bgt hari ini ulang tahun saya dkasih cake birthday dan minuman free🥺 semoga sukses dan makin maju 🙏🙏,2022-11-14 15:34:47
Stevani Hutahaean,Saya buka aplikasinya dan masukkin email saya kedalam kok akun saya malah ke block? Tolong dong ditingkatkan lagi apk nya Terimakasih 🙏,2022-11-13 20:35:12
wahiidun dun,"Burik gabisa login, sudah restart hp dan instal ulang tetap error aplikasi ini",2022-11-13 20:15:27
Dendis Haykal,sangat membantu❤️ ily sbux,2022-11-13 13:39:11
Mutia yulfitra,Sulit masuk akun,2022-11-13 09:24:18
The EYE #,Good,2022-11-13 00:45:44
Awan Sudarmanto,"Ga niat bikin apk, sekelas Starbucks kaya gini sampah bgt, mau ambil deposit aja trs error, masak HP gue dibilang gak kompitable anjir HP gue bisa beli motor 500cc anjir kesel gue depo banyak trs error",2022-11-12 18:04:21
reisiska ayu widyasari,Ga bisa masuk slah user/pasword bagaimana cara resetnya,2022-11-12 00:14:24
Arifin Damanik,"Aneh banget, lokasi Binjai tp store terdekat nya malah di Jakarta..apps gak jelas.",2022-11-11 21:03:50
Nisrina Arifah Hibatullah,"Click bait bgt pdhl di app tulisannya udh were back online wkt kestore ktnya lg off hix, better dblagin kl gt sih",2022-11-11 12:12:56
Kasih Rusilan,Starbucks graha raya bilang nya offline! Sedangkan disana sudah ada yg beli. Gak usah kasih reward min kalau gak bisa dipakai.,2022-11-11 07:48:32
